!SIL 1.0	sil
obciążonej 1.0	o b tsi o n Z o* n e j
obciążonej 1.0	o b tsi on Z o* n e j
obciążonej 1.0	o p tsi o n Z o* n e j
obciążonej 1.0	o p tsi on Z o* n e j
obciążony 1.0	o b tsi o n Z o* n I
obciążony 1.0	o b tsi on Z o* n I
obciążony 1.0	o p tsi o n Z o* n I
obciążony 1.0	o p tsi on Z o* n I
obciążonych 1.0	o b tsi o n Z o* n I x
obciążonych 1.0	o b tsi on Z o* n I x
obciążonych 1.0	o p tsi o n Z o* n I x
obciążonych 1.0	o p tsi on Z o* n I x
obciążyło 1.0	o b tsi o n Z I* w o
obciążyło 1.0	o b tsi on Z I* w o
obciążyło 1.0	o p tsi o n Z I* w o
obciążyło 1.0	o p tsi on Z I* w o
obciążyły 1.0	o b tsi o n Z I* w I
obciążyły 1.0	o b tsi on Z I* w I
obciążyły 1.0	o p tsi o n Z I* w I
obciążyły 1.0	o p tsi on Z I* w I
obcięte 1.0	o b tsi i* en* t e
obcięte 1.0	o p tsi i* en* t e
obcięty 1.0	o b tsi i* en* t I
obcięty 1.0	o p tsi i* en* t I
obco 1.0	o* b ts o
obco 1.0	o* p ts o
obcokrajowca 1.0	o b ts o k r a j o* f ts a
obcokrajowca 1.0	o b ts o k r a j o* v ts a
obcokrajowca 1.0	o p ts o k r a j o* f ts a
obcokrajowca 1.0	o p ts o k r a j o* v ts a
obcokrajowców 1.0	o b ts o k r a j o* f ts u f
obcokrajowców 1.0	o b ts o k r a j o* f ts u v
obcokrajowców 1.0	o b ts o k r a j o* v ts u f
obcokrajowców 1.0	o b ts o k r a j o* v ts u v
obcokrajowców 1.0	o p ts o k r a j o* f ts u f
obcokrajowców 1.0	o p ts o k r a j o* f ts u v
obcokrajowców 1.0	o p ts o k r a j o* v ts u f
obcokrajowców 1.0	o p ts o k r a j o* v ts u v
obcowania 1.0	o b ts o v a* ni a
obcowania 1.0	o p ts o v a* ni a
obcowanie 1.0	o b ts o v a* ni e
obcowanie 1.0	o p ts o v a* ni e
obcość 1.0	o* b ts o si tsi
obcość 1.0	o* p ts o si tsi
obcy 1.0	o* b ts I
obcy 1.0	o* p ts I
obcych 1.0	o* b ts I x
obcych 1.0	o* p ts I x
obcym 1.0	o* b ts I m
obcym 1.0	o* p ts I m
obcymi 1.0	o b ts I* m i
obcymi 1.0	o p ts I* m i
obcą 1.0	o* b ts o m
obcą 1.0	o* b ts on
obcą 1.0	o* p ts o m
obcą 1.0	o* p ts on
obcęgi 1.0	o b ts en* g i
obcęgi 1.0	o p ts en* g i
obdarować 1.0	o b d a r o* v a tsi
obdarowała 1.0	o b d a r o v a* w a
obdarowywania 1.0	o b d a r o v I v a* ni a
obdarowywała 1.0	o b d a r o v I v a* w a
obdarza 1.0	o b d a* Z a
obdarzone 1.0	o b d a Z o* n e
obdarzony 1.0	o b d a Z o* n I
obdarzonych 1.0	o b d a Z o* n I x
obdarzonym 1.0	o b d a Z o* n I m
obdarzyć 1.0	o b d a* Z I tsi
obdarzył 1.0	o b d a* Z I w
obdukcji 1.0	o b d u* k ts i
obdukcji 1.0	o b d u* k ts j i
obdzielić 1.0	o b dzi i* e* l i tsi
obecna 1.0	o b e* ts n a
obecne 1.0	o b e* ts n e
obecnego 1.0	o b e ts n e* g o
obecnej 1.0	o b e* ts n e j
obecni 1.0	o b e* ts ni i
obecnie 1.0	o b e* ts ni e
obecności 1.0	o b e ts n o* si tsi i
obecnością 1.0	o b e ts n o* si tsi o m
obecnością 1.0	o b e ts n o* si tsi on
obecność 1.0	o b e* ts n o si tsi
obecny 1.0	o b e* ts n I
obecnych 1.0	o b e* ts n I x
obecnym 1.0	o b e* ts n I m
obecną 1.0	o b e* ts n o m
obecną 1.0	o b e* ts n on
obedrzeć 1.0	o b e* d Z e tsi
obejdę 1.0	o b e* j d e
obejdę 1.0	o b e* j d en
obejmowane 1.0	o b e j m o v a* n e
obejmować 1.0	o b e j m o* v a tsi
obejmował 1.0	o b e j m o* v a w
obejmowały 1.0	o b e j m o v a* w I
obejmuje 1.0	o b e j m u* j e
obejmują 1.0	o b e j m u* j o m
obejmują 1.0	o b e j m u* j on
obejmując 1.0	o b e j m u* j o n ts
obejmując 1.0	o b e j m u* j on ts
obejmująca 1.0	o b e j m u j on* ts a
obejmującego 1.0	o b e j m u j o n ts e* g o
obejmującego 1.0	o b e j m u j on ts e* g o
obejmujący 1.0	o b e j m u j on* ts I
obejmujących 1.0	o b e j m u j on* ts I x
obejmującym 1.0	o b e j m u j on* ts I m
obejmą 1.0	o b e* j m o m
obejmą 1.0	o b e* j m on
obejrzał 1.0	o b e* j Z a w
obejrzało 1.0	o b e j Z a* w o
obejrzeliśmy 1.0	o b e j Z e* l i si m I
obejrzenie 1.0	o b e j Z e* ni e
obejrzeniem 1.0	o b e j Z e* ni e m
obejrzeniu 1.0	o b e j Z e* ni u
obejrzeć 1.0	o b e* j Z e tsi
obejrzyj 1.0	o b e* j Z I j
obejścia 1.0	o b e* j si tsi a
obejście 1.0	o b e* j si tsi e
obelg 1.0	o* b e l g
obelg 1.0	o* b e l k
obelga 1.0	o b e* l g a
obelgi 1.0	o b e* l g i
obelisk 1.0	o b e* l i s k
oberwała 1.0	o b e r v a* w a
oberwańcy 1.0	o b e r v a* ni ts I
obeschną 1.0	o b e* s x n o m
obeschną 1.0	o b e* s x n on
obezwładnia 1.0	o b e z v w a* d ni a
obezwładniających 1.0	o b e z v w a d ni a j on* ts I x
obezwładniającymi 1.0	o b e z v w a d ni a j o n ts I* m i
obezwładniającymi 1.0	o b e z v w a d ni a j on ts I* m i
obficie 1.0	o b f i* tsi e
obficie 1.0	o p f i* tsi e
obfita 1.0	o b f i* t a
obfita 1.0	o p f i* t a
obfite 1.0	o b f i* t e
obfite 1.0	o p f i* t e
obfitość 1.0	o b f i* t o si tsi
obfitość 1.0	o p f i* t o si tsi
obfitsze 1.0	o b f i* t S e
obfitsze 1.0	o p f i* t S e
obfituje 1.0	o b f i t u* j e
obfituje 1.0	o p f i t u* j e
obgryzają 1.0	o b g r I z a* j o m
obgryzają 1.0	o b g r I z a* j on
obiad 1.0	o* b j a d
obiad 1.0	o* b j a t
obiadowe 1.0	o b j a d o* v e
obiadowej 1.0	o b j a d o* v e j
obiadu 1.0	o b i* a* d u
obiciem 1.0	o b i* tsi e m
obie 1.0	o* b j e
obieca 1.0	o b i* e* ts a
obiecają 1.0	o b j e ts a* j o m
obiecają 1.0	o b j e ts a* j on
obiecanej 1.0	o b j e ts a* n e j
obiecanym 1.0	o b j e ts a* n I m
obiecaną 1.0	o b j e ts a* n o m
obiecaną 1.0	o b j e ts a* n on
obiecać 1.0	o b i* e* ts a tsi
obiecał 1.0	o b i* e* ts a w
obiecałem 1.0	o b j e ts a* w e m
obiecałeś 1.0	o b j e ts a* w e si
obiecuje 1.0	o b j e ts u* j e
obiecują 1.0	o b j e ts u* j o m
obiecują 1.0	o b j e ts u* j on
obiecująca 1.0	o b j e ts u j on* ts a
obiecujące 1.0	o b j e ts u j on* ts e
obiecująco 1.0	o b j e ts u j on* ts o
obiecuję 1.0	o b j e ts u* j e
obiecuję 1.0	o b j e ts u* j en
obiecywać 1.0	o b j e ts I* v a tsi
obiecywałbyś 1.0	o b j e ts I v a* w b I si
obiecywałeś 1.0	o b j e ts I v a* w e si
obiecywało 1.0	o b j e ts I v a* w o
obiedzie 1.0	o b i* e* dzi e
obieg 1.0	o* b j e g
obieg 1.0	o* b j e k
obiegowym 1.0	o b j e g o* v I m
obiegu 1.0	o b i* e* g u
obiekcie 1.0	o b i* e* k tsi e
obiekcje 1.0	o b i* e* k ts j e
obiekcji 1.0	o b i* e* k ts i
obiekcji 1.0	o b i* e* k ts j i
obiekt 1.0	o* b j e k t
obiektach 1.0	o b i* e* k t a x
obiektami 1.0	o b j e k t a* m i
obiektem 1.0	o b i* e* k t e m
obiektu 1.0	o b i* e* k t u
obiekty 1.0	o b i* e* k t I
obiektyw 1.0	o b i* e* k t I f
obiektyw 1.0	o b i* e* k t I v
obiektywizm 1.0	o b j e k t I* v i z m
obiektywna 1.0	o b j e k t I* v n a
obiektywne 1.0	o b j e k t I* v n e
obiektywnego 1.0	o b j e k t I v n e* g o
obiektywnej 1.0	o b j e k t I* v n e j
obiektywnie 1.0	o b j e k t I* v ni e
obiektywny 1.0	o b j e k t I* v n I
obiektywnych 1.0	o b j e k t I* v n I x
obiektywnym 1.0	o b j e k t I* v n I m
obiektywu 1.0	o b j e k t I* v u
obiektywów 1.0	o b j e k t I* v u f
obiektywów 1.0	o b j e k t I* v u v
obiektów 1.0	o b i* e* k t u f
obiektów 1.0	o b i* e* k t u v
obiema 1.0	o b i* e* m a
obiera 1.0	o b i* e* r a
obieralne 1.0	o b j e r a* l n e
obieralny 1.0	o b j e r a* l n I
obieram 1.0	o b i* e* r a m
obieramy 1.0	o b j e r a* m I
obietnic 1.0	o b i* e* t ni i ts
obietnica 1.0	o b j e t ni i* ts a
obietnicami 1.0	o b j e t ni i ts a* m i
obietnice 1.0	o b j e t ni i* ts e
obietnicy 1.0	o b j e t ni i* ts I
obietnicę 1.0	o b j e t ni i* ts e
obietnicę 1.0	o b j e t ni i* ts en
obitych 1.0	o b i* t I x
objadając 1.0	o b j a d a* j o n ts
objadając 1.0	o b j a d a* j on ts
objawach 1.0	o b j a* v a x
objawem 1.0	o b j a* v e m
objawia 1.0	o b j a* v j a
objawiało 1.0	o b j a v i* a* w o
objawić 1.0	o b j a* v i tsi
objawy 1.0	o b j a* v I
objawów 1.0	o b j a* v u f
objawów 1.0	o b j a* v u v
objazdowe 1.0	o b j a z d o* v e
objazdową 1.0	o b j a z d o* v o m
objazdową 1.0	o b j a z d o* v on
objazdu 1.0	o b j a* z d u
objaśnia 1.0	o b j a* si ni a
objaśniać 1.0	o b j a* si ni a tsi
objaśnienia 1.0	o b j a si ni i* e* ni a
objaśnień 1.0	o b j a* si ni e ni
objaśnić 1.0	o b j a* si ni i tsi
objaśnił 1.0	o b j a* si ni i w
objuczony 1.0	o b j u tS o* n I
objąć 1.0	o* b j o ni tsi
objąć 1.0	o* b j on tsi
objął 1.0	o* b j o w
objął 1.0	o* b j on w
objęcia 1.0	o b j en* tsi a
objęciach 1.0	o b j en* tsi a x
objęciem 1.0	o b j en* tsi e m
objęciu 1.0	o b j en* tsi u
objęli 1.0	o b j en* l i
objęliby 1.0	o b j en* l i b I
objęta 1.0	o b j en* t a
objęte 1.0	o b j en* t e
objętego 1.0	o b j e n t e* g o
objętego 1.0	o b j en t e* g o
objętości 1.0	o b j e n t o* si tsi i
objętości 1.0	o b j en t o* si tsi i
objętościowym 1.0	o b j e n t o si tsi i* o* v I m
objętościowym 1.0	o b j en t o si tsi i* o* v I m
objętością 1.0	o b j e n t o* si tsi o m
objętością 1.0	o b j e n t o* si tsi on
objętością 1.0	o b j en t o* si tsi o m
objętością 1.0	o b j en t o* si tsi on
objętość 1.0	o b j en* t o si tsi
objęty 1.0	o b j en* t I
objętych 1.0	o b j en* t I x
objętym 1.0	o b j en* t I m
objęła 1.0	o b j en* w a
objęło 1.0	o b j en* w o
objęły 1.0	o b j en* w I
oblani 1.0	o b l a* ni i
oblatany 1.0	o b l a t a* n I
oblać 1.0	o* b l a tsi
oblałam 1.0	o b l a* w a m
obleczenie 1.0	o b l e tS e* ni e
oblegają 1.0	o b l e g a* j o m
oblegają 1.0	o b l e g a* j on
oblegający 1.0	o b l e g a j on* ts I
oblepiło 1.0	o b l e p i* w o
oblewa 1.0	o b l e* v a
obleśnych 1.0	o b l e* si n I x
oblicza 1.0	o b l i* tS a
obliczają 1.0	o b l i tS a* j o m
obliczają 1.0	o b l i tS a* j on
obliczając 1.0	o b l i tS a* j o n ts
obliczając 1.0	o b l i tS a* j on ts
obliczana 1.0	o b l i tS a* n a
obliczać 1.0	o b l i* tS a tsi
obliczał 1.0	o b l i* tS a w
oblicze 1.0	o b l i* tS e
obliczem 1.0	o b l i* tS e m
obliczeniach 1.0	o b l i tS e* ni a x
obliczeniowej 1.0	o b l i tS e ni i* o* v e j
obliczeń 1.0	o b l i* tS e ni
obliczonym 1.0	o b l i tS o* n I m
obliczoną 1.0	o b l i tS o* n o m
obliczoną 1.0	o b l i tS o* n on
obliczu 1.0	o b l i* tS u
obliczy 1.0	o b l i* tS I
obligacja 1.0	o b l i g a* ts j a
obligacje 1.0	o b l i g a* ts j e
obligacji 1.0	o b l i g a* ts i
obligacji 1.0	o b l i g a* ts j i
obligację 1.0	o b l i g a* ts j e
obligację 1.0	o b l i g a* ts j en
obligatariusz 1.0	o b l i g a t a* r j u S
obligatariusze 1.0	o b l i g a t a r i* u* S e
obligatariuszy 1.0	o b l i g a t a r i* u* S I
obligatoryjna 1.0	o b l i g a t o r I* j n a
obligatoryjne 1.0	o b l i g a t o r I* j n e
obligatoryjnie 1.0	o b l i g a t o r I* j ni e
obligowało 1.0	o b l i g o v a* w o
obliguje 1.0	o b l i g u* j e
oblizywać 1.0	o b l i z I* v a tsi
oblężenia 1.0	o b l e n Z e* ni a
oblężenia 1.0	o b l en Z e* ni a
oblężenie 1.0	o b l e n Z e* ni e
oblężenie 1.0	o b l en Z e* ni e
oblężniczych 1.0	o b l e n Z ni i* tS I x
oblężniczych 1.0	o b l en Z ni i* tS I x
oblężonego 1.0	o b l e n Z o n e* g o
oblężonego 1.0	o b l en Z o n e* g o
oblężonym 1.0	o b l e n Z o* n I m
oblężonym 1.0	o b l en Z o* n I m
oblężoną 1.0	o b l e n Z o* n o m
oblężoną 1.0	o b l e n Z o* n on
oblężoną 1.0	o b l en Z o* n o m
oblężoną 1.0	o b l en Z o* n on
obmacuje 1.0	o b m a ts u* j e
obmacując 1.0	o b m a ts u* j o n ts
obmacując 1.0	o b m a ts u* j on ts
obmyć 1.0	o* b m I tsi
obmył 1.0	o* b m I w
obmyślali 1.0	o b m I si l a* l i
obmyślana 1.0	o b m I si l a* n a
obmyślane 1.0	o b m I si l a* n e
obmyślanej 1.0	o b m I si l a* n e j
obmyślił 1.0	o b m I* si l i w
obnaża 1.0	o b n a* Z a
obnażaniu 1.0	o b n a Z a* ni u
obnażyła 1.0	o b n a Z I* w a
obniża 1.0	o b ni i* Z a
obniżające 1.0	o b ni i Z a j on* ts e
obniżającym 1.0	o b ni i Z a j on* ts I m
obniżamy 1.0	o b ni i Z a* m I
obniżania 1.0	o b ni i Z a* ni a
obniżaniu 1.0	o b ni i Z a* ni u
obniżać 1.0	o b ni i* Z a tsi
obniżała 1.0	o b ni i Z a* w a
obniżenia 1.0	o b ni i Z e* ni a
obniżenie 1.0	o b ni i Z e* ni e
obniżeniu 1.0	o b ni i Z e* ni u
obniżka 1.0	o b ni i* S k a
obniżka 1.0	o b ni i* Z k a
obniżkami 1.0	o b ni i S k a* m i
obniżkami 1.0	o b ni i Z k a* m i
obniżki 1.0	o b ni i* S k i
obniżki 1.0	o b ni i* Z k i
obniżkę 1.0	o b ni i* S k e
obniżkę 1.0	o b ni i* S k en
obniżkę 1.0	o b ni i* Z k e
obniżkę 1.0	o b ni i* Z k en
obniżonej 1.0	o b ni i Z o* n e j
obniżonych 1.0	o b ni i Z o* n I x
obniży 1.0	o b ni i* Z I
obniżyli 1.0	o b ni i Z I* l i
obniżyć 1.0	o b ni i* Z I tsi
obniżył 1.0	o b ni i* Z I w
obniżyły 1.0	o b ni i Z I* w I
obnosili 1.0	o b n o si i* l i
obojczyk 1.0	o* b o* j tS I k
oboje 1.0	o* b o* j e
obojga 1.0	o* b o* j g a
obojętne 1.0	o b o j en* t n e
obojętnego 1.0	o b o j e n t n e* g o
obojętnego 1.0	o b o j en t n e* g o
obojętnej 1.0	o b o j en* t n e j
obojętni 1.0	o b o j en* t ni i
obojętnie 1.0	o b o j en* t ni e
obojętność 1.0	o b o j en* t n o si tsi
obok 1.0	o* b o* k
obolałych 1.0	o b o l a* w I x
obopólnej 1.0	o b o p u* l n e j
obory 1.0	o* b o* r I
obowiązana 1.0	o b o v j o n z a* n a
obowiązana 1.0	o b o v j on z a* n a
obowiązany 1.0	o b o v j o n z a* n I
obowiązany 1.0	o b o v j on z a* n I
obowiązek 1.0	o b o v i* on* z e k
obowiązkach 1.0	o b o v i* on* s k a x
obowiązkach 1.0	o b o v i* on* z k a x
obowiązkami 1.0	o b o v j o n s k a* m i
obowiązkami 1.0	o b o v j o n z k a* m i
obowiązkami 1.0	o b o v j on s k a* m i
obowiązkami 1.0	o b o v j on z k a* m i
obowiązki 1.0	o b o v i* on* s k i
obowiązki 1.0	o b o v i* on* z k i
obowiązkiem 1.0	o b o v i* on* s k j e m
obowiązkiem 1.0	o b o v i* on* z k j e m
obowiązkow 1.0	o b o v i* on* s k o f
obowiązkow 1.0	o b o v i* on* s k o v
obowiązkow 1.0	o b o v i* on* z k o f
obowiązkow 1.0	o b o v i* on* z k o v
obowiązkowe 1.0	o b o v j o n s k o* v e
obowiązkowe 1.0	o b o v j o n z k o* v e
obowiązkowe 1.0	o b o v j on s k o* v e
obowiązkowe 1.0	o b o v j on z k o* v e
obowiązkowemu 1.0	o b o v j o n s k o v e* m u
obowiązkowemu 1.0	o b o v j o n z k o v e* m u
obowiązkowemu 1.0	o b o v j on s k o v e* m u
obowiązkowemu 1.0	o b o v j on z k o v e* m u
obowiązkowi 1.0	o b o v j o n s k o* v i
obowiązkowi 1.0	o b o v j o n z k o* v i
obowiązkowi 1.0	o b o v j on s k o* v i
obowiązkowi 1.0	o b o v j on z k o* v i
obowiązkowo 1.0	o b o v j o n s k o* v o
obowiązkowo 1.0	o b o v j o n z k o* v o
obowiązkowo 1.0	o b o v j on s k o* v o
obowiązkowo 1.0	o b o v j on z k o* v o
obowiązkowy 1.0	o b o v j o n s k o* v I
obowiązkowy 1.0	o b o v j o n z k o* v I
obowiązkowy 1.0	o b o v j on s k o* v I
obowiązkowy 1.0	o b o v j on z k o* v I
obowiązkowych 1.0	o b o v j o n s k o* v I x
obowiązkowych 1.0	o b o v j o n z k o* v I x
obowiązkowych 1.0	o b o v j on s k o* v I x
obowiązkowych 1.0	o b o v j on z k o* v I x
obowiązkową 1.0	o b o v j o n s k o* v o m
obowiązkową 1.0	o b o v j o n s k o* v on
obowiązkową 1.0	o b o v j o n z k o* v o m
obowiązkową 1.0	o b o v j o n z k o* v on
obowiązkową 1.0	o b o v j on s k o* v o m
obowiązkową 1.0	o b o v j on s k o* v on
obowiązkową 1.0	o b o v j on z k o* v o m
obowiązkową 1.0	o b o v j on z k o* v on
obowiązku 1.0	o b o v i* on* s k u
obowiązku 1.0	o b o v i* on* z k u
obowiązków 1.0	o b o v i* on* s k u f
obowiązków 1.0	o b o v i* on* s k u v
obowiązków 1.0	o b o v i* on* z k u f
obowiązków 1.0	o b o v i* on* z k u v
obowiązuje 1.0	o b o v j o n z u* j e
obowiązuje 1.0	o b o v j on z u* j e
obowiązują 1.0	o b o v j o n z u* j o m
obowiązują 1.0	o b o v j o n z u* j on
obowiązują 1.0	o b o v j on z u* j o m
obowiązują 1.0	o b o v j on z u* j on
obowiązujące 1.0	o b o v j o n z u j on* ts e
obowiązujące 1.0	o b o v j on z u j on* ts e
obowiązującego 1.0	o b o v j o n z u j o n ts e* g o
obowiązującego 1.0	o b o v j o n z u j on ts e* g o
obowiązującego 1.0	o b o v j on z u j o n ts e* g o
obowiązującego 1.0	o b o v j on z u j on ts e* g o
obowiązującej 1.0	o b o v j o n z u j on* ts e j
obowiązującej 1.0	o b o v j on z u j on* ts e j
obowiązującemu 1.0	o b o v j o n z u j o n ts e* m u
obowiązującemu 1.0	o b o v j o n z u j on ts e* m u
obowiązującemu 1.0	o b o v j on z u j o n ts e* m u
obowiązującemu 1.0	o b o v j on z u j on ts e* m u
obowiązujących 1.0	o b o v j o n z u j on* ts I x
obowiązujących 1.0	o b o v j on z u j on* ts I x
obowiązującym 1.0	o b o v j o n z u j on* ts I m
obowiązującym 1.0	o b o v j on z u j on* ts I m
obowiązującymi 1.0	o b o v j o n z u j o n ts I* m i
obowiązującymi 1.0	o b o v j o n z u j on ts I* m i
obowiązującymi 1.0	o b o v j on z u j o n ts I* m i
obowiązującymi 1.0	o b o v j on z u j on ts I* m i
obowiązującą 1.0	o b o v j o n z u j on* ts o m
obowiązującą 1.0	o b o v j o n z u j on* ts on
obowiązującą 1.0	o b o v j on z u j on* ts o m
obowiązującą 1.0	o b o v j on z u j on* ts on
obowiązywania 1.0	o b o v j o n z I v a* ni a
obowiązywania 1.0	o b o v j on z I v a* ni a
obowiązywać 1.0	o b o v j o n z I* v a tsi
obowiązywać 1.0	o b o v j on z I* v a tsi
obowiązywało 1.0	o b o v j o n z I v a* w o
obowiązywało 1.0	o b o v j on z I v a* w o
obozach 1.0	o* b o* z a x
obozami 1.0	o b o z a* m i
obozie 1.0	o* b o* zi e
obozowiska 1.0	o b o z o v i* s k a
obozowiskiem 1.0	o b o z o v i* s k j e m
obozu 1.0	o* b o* z u
obozy 1.0	o* b o* z I
obozów 1.0	o* b o* z u f
obozów 1.0	o* b o* z u v
obraca 1.0	o b r a* ts a
obracając 1.0	o b r a ts a* j o n ts
obracając 1.0	o b r a ts a* j on ts
obracali 1.0	o b r a ts a* l i
obracamy 1.0	o b r a ts a* m I
obracać 1.0	o b r a* ts a tsi
obracał 1.0	o b r a* ts a w
obracała 1.0	o b r a ts a* w a
obrad 1.0	o* b r a d
obrad 1.0	o* b r a t
obradach 1.0	o b r a* d a x
obradowały 1.0	o b r a d o v a* w I
obradującego 1.0	o b r a d u j o n ts e* g o
obradującego 1.0	o b r a d u j on ts e* g o
obrady 1.0	o b r a* d I
obramowane 1.0	o b r a m o v a* n e
obramowanych 1.0	o b r a m o v a* n I x
obramowującej 1.0	o b r a m o v u j on* ts e j
obrane 1.0	o b r a* n e
obranego 1.0	o b r a n e* g o
obranemu 1.0	o b r a n e* m u
obrany 1.0	o b r a* n I
obranym 1.0	o b r a* n I m
obrastają 1.0	o b r a s t a* j o m
obrastają 1.0	o b r a s t a* j on
obraz 1.0	o* b r a s
obraz 1.0	o* b r a z
obrazach 1.0	o b r a* z a x
obrazami 1.0	o b r a z a* m i
obrazem 1.0	o b r a* z e m
obrazie 1.0	o b r a* zi e
obrazić 1.0	o b r a* zi i tsi
obrazka 1.0	o b r a* s k a
obrazka 1.0	o b r a* z k a
obrazki 1.0	o b r a* s k i
obrazki 1.0	o b r a* z k i
obrazku 1.0	o b r a* s k u
obrazku 1.0	o b r a* z k u
obrazoburczym 1.0	o b r a z o b u* r tS I m
obrazowi 1.0	o b r a z o* v i
obrazowo 1.0	o b r a z o* v o
obrazu 1.0	o b r a* z u
obrazujący 1.0	o b r a z u j on* ts I
obrazy 1.0	o b r a* z I
obrazów 1.0	o b r a* z u f
obrazów 1.0	o b r a* z u v
obrazą 1.0	o b r a* z o m
obrazą 1.0	o b r a* z on
obrazę 1.0	o b r a* z e
obrazę 1.0	o b r a* z en
obrał 1.0	o* b r a w
obraźliwe 1.0	o b r a zi l i* v e
obraźliwy 1.0	o b r a zi l i* v I
obraźliwym 1.0	o b r a zi l i* v I m
obraża 1.0	o b r a* Z a
obrażają 1.0	o b r a Z a* j o m
obrażają 1.0	o b r a Z a* j on
obrażani 1.0	o b r a Z a* ni i
obrażać 1.0	o b r a* Z a tsi
obrażał 1.0	o b r a* Z a w
obrażały 1.0	o b r a Z a* w I
obrażenia 1.0	o b r a Z e* ni a
obrażeń 1.0	o b r a* Z e ni
obrażony 1.0	o b r a Z o* n I
obrocie 1.0	o b r o* tsi e
obrona 1.0	o b r o* n a
obroni 1.0	o b r o* ni i
obronie 1.0	o b r o* ni e
obronią 1.0	o b r o* ni j o m
obronią 1.0	o b r o* ni j on
obronią 1.0	o b r o* ni o m
obronią 1.0	o b r o* ni on
obronić 1.0	o b r o* ni i tsi
obronił 1.0	o b r o* ni i w
obronna 1.0	o b r o* n n a
obronne 1.0	o b r o* n n e
obronnego 1.0	o b r o n n e* g o
obronnej 1.0	o b r o* n n e j
obronność 1.0	o b r o* n n o si tsi
obronny 1.0	o b r o* n n I
obronnych 1.0	o b r o* n n I x
obronnym 1.0	o b r o* n n I m
obronną 1.0	o b r o* n n o m
obronną 1.0	o b r o* n n on
obrony 1.0	o b r o* n I
obroną 1.0	o b r o* n o m
obroną 1.0	o b r o* n on
obronę 1.0	o b r o* n e
obronę 1.0	o b r o* n en
obrosło 1.0	o b r o* s w o
obrotach 1.0	o b r o* t a x
obrotniejszych 1.0	o b r o t ni i* e* j S I x
obrotowe 1.0	o b r o t o* v e
obrotowego 1.0	o b r o t o v e* g o
obrotowy 1.0	o b r o t o* v I
obrotowym 1.0	o b r o t o* v I m
obrotową 1.0	o b r o t o* v o m
obrotową 1.0	o b r o t o* v on
obrotu 1.0	o b r o* t u
obroty 1.0	o b r o* t I
obrotów 1.0	o b r o* t u f
obrotów 1.0	o b r o* t u v
obrońca 1.0	o b r o* ni ts a
obrońcom 1.0	o b r o* ni ts o m
obrońcy 1.0	o b r o* ni ts I
obrończyń 1.0	o b r o* ni tS I ni
obrońców 1.0	o b r o* ni ts u f
obrońców 1.0	o b r o* ni ts u v
obrońcę 1.0	o b r o* ni ts e
obrońcę 1.0	o b r o* ni ts en
obrysowywać 1.0	o b r I s o v I* v a tsi
obrywało 1.0	o b r I v a* w o
obryzganą 1.0	o b r I z g a* n o m
obryzganą 1.0	o b r I z g a* n on
obrzezują 1.0	o b Z e z u* j o m
obrzezują 1.0	o b Z e z u* j on
obrzeża 1.0	o b Z e* Z a
obrzeżem 1.0	o b Z e* Z e m
obrzmiewają 1.0	o b S m j e v a* j o m
obrzmiewają 1.0	o b S m j e v a* j on
obrzmiewają 1.0	o b Z m j e v a* j o m
obrzmiewają 1.0	o b Z m j e v a* j on
obrzmiewają 1.0	o p S m j e v a* j o m
obrzmiewają 1.0	o p S m j e v a* j on
obrzucił 1.0	o b Z u* tsi i w
obrzuconego 1.0	o b Z u ts o n e* g o
obrzuconym 1.0	o b Z u ts o* n I m
obrzydliwej 1.0	o b Z I d l i* v e j
obrzydliwość 1.0	o b Z I d l i* v o si tsi
obrzydliwy 1.0	o b Z I d l i* v I
obrzydliwych 1.0	o b Z I d l i* v I x
obrzydliwym 1.0	o b Z I d l i* v I m
obrzydzać 1.0	o b Z I* dz a tsi
obrzydzenia 1.0	o b Z I dz e* ni a
obrzydzeniem 1.0	o b Z I dz e* ni e m
obrzydzić 1.0	o b Z I* dzi i tsi
obrządkowi 1.0	o b Z o n d k o* v i
obrządkowi 1.0	o b Z o n t k o* v i
obrządkowi 1.0	o b Z on d k o* v i
obrządkowi 1.0	o b Z on t k o* v i
obrządku 1.0	o b Z on* d k u
obrządku 1.0	o b Z on* t k u
obrządków 1.0	o b Z on* d k u f
obrządków 1.0	o b Z on* d k u v
obrządków 1.0	o b Z on* t k u f
obrządków 1.0	o b Z on* t k u v
obrzęd 1.0	o* b Z e n d
obrzęd 1.0	o* b Z e n t
obrzęd 1.0	o* b Z en d
obrzęd 1.0	o* b Z en t
obrzędach 1.0	o b Z en* d a x
obrzędowe 1.0	o b Z e n d o* v e
obrzędowe 1.0	o b Z en d o* v e
obrzędowości 1.0	o b Z e n d o v o* si tsi i
obrzędowości 1.0	o b Z en d o v o* si tsi i
obrzędy 1.0	o b Z en* d I
obrzędzie 1.0	o b Z en* dzi e
obrzędów 1.0	o b Z en* d u f
obrzędów 1.0	o b Z en* d u v
obrzęk 1.0	o* b Z e n k
obrzęk 1.0	o* b Z en k
obróbki 1.0	o b r u* b k i
obróbki 1.0	o b r u* p k i
obrócić 1.0	o b r u* tsi i tsi
obrócił 1.0	o b r u* tsi i w
obróciła 1.0	o b r u tsi i* w a
obrócą 1.0	o b r u* ts o m
obrócą 1.0	o b r u* ts on
